"run_id","time_min","V_cum_upper_mL","V_cum_eta_mL"
12,14,2.76118702829568,1.54077310287897
12,15,2.90729060636869,1.62711998540711
12,16,3.0983635629731,1.79334198888541
12,17,3.32622390739872,1.85639644921353
12,18,3.5622618103957,1.91293804024496
12,19,3.77744502611405,1.95867081097696
12,20,4.02824832768799,2.15942872228204
12,21,4.23670623953202,2.30384027178891
12,22,4.46387173422317,2.35923945011649
12,23,4.69878243905483,2.52845592917308
12,24,4.89304084648681,2.66166565012231
12,25,5.04829816643133,2.7294528906506
12,26,5.27959577980877,2.92399709686602
12,27,5.50476681717734,3.02493231430393
12,28,5.71811219502167,3.11115289550678
12,29,5.87706091959945,3.24755378612266
12,30,6.10935672682382,3.30745926853397
13,0,0,0
13,1,0.211934138106741,0.168092513000446
13,2,0.383184417069656,0.226043162643137
13,3,0.546414707664563,0.284191156863418
13,4,0.752429502204374,0.401520398181149
13,5,1.00506258359126,0.578999365416087
13,6,1.21086639799686,0.760850448634336
13,7,1.36537461210683,0.827135720718912
13,8,1.59579403468675,0.99490214056922
13,9,1.83976781467086,1.13275088663791
13,10,1.99723846976188,1.22439573528322
13,11,2.16216133919275,1.31294357739297
13,12,2.41243748887739,1.5180259884921
13,13,2.58948834237582,1.55634889826643
13,14,2.76353952513101,1.69404681147832
13,15,2.96774504569308,1.85920622892255
13,16,3.14687644512835,1.93681615746181
13,17,3.30387549275514,2.0248128986231
13,18,3.55229508137665,2.16354170346532
13,19,3.72786043188316,2.26152464654335
13,20,3.95406889650835,2.35438079863156
13,21,4.12071983000815,2.45284533346111
13,22,4.31776499857023,2.59174351066591
13,23,4.50783856787421,2.74348423094209
13,24,4.68210885350863,2.78486713514754
13,25,4.82852618930176,2.87797594208843
13,26,4.98252354734205,2.99551414924101
13,27,5.13768467818397,3.13320549206419
13,28,5.33026561452583,3.24912517708602
13,29,5.51121736121071,3.38186805428636
13,30,5.66410070580315,3.43981736663522
14,0,0,0
14,1,0.221081052391212,0.182617312326409
14,2,0.397414078892954,0.220930469838776
14,3,0.588925820096961,0.322037824206078
14,4,0.797776767413868,0.40106097248235
14,5,0.986728255341896,0.489303650232273
14,6,1.15074682498441,0.633804198621292
14,7,1.37506002785522,0.711283023817091
14,8,1.56983722688301,0.861864708881681
14,9,1.73751895458871,0.939505972583432
14,10,1.93449029233818,1.04345198932736
14,11,2.11228376017554,1.10602223672046
14,12,2.33158558409727,1.20773115704585
14,13,2.49029101718175,1.26346275797097
14,14,2.63921511146851,1.303786594383
14,15,2.86767972600469,1.4963071668587
14,16,3.02624051030362,1.57625996475011
14,17,3.25601284701413,1.63895374515656
14,18,3.44498469129292,1.80582613204027
14,19,3.63147551565953,1.93118594807105
14,20,3.79663302137519,1.99174554100958
14,21,3.99463056874971,2.0433186165858
14,22,4.22767138068749,2.11500673444728
14,23,4.3828666324331,2.16061605184197
14,24,4.62278583093188,2.34811933110551
14,25,4.78389665677836,2.44343379404011
14,26,4.93672558584275,2.50190015809821
14,27,5.08204356161637,2.5967133700823
14,28,5.27967244012131,2.70197802454549
14,29,5.472586199175,2.75503741703107
14,30,5.72627831787037,2.88102524196384
15,0,0,0
15,1,0.14628147520445,0.126088357215117
15,2,0.292709073285049,0.169124934018164
15,3,0.490150085373862,0.342694757984096
15,4,0.647644467240054,0.408230850370633
15,5,0.843134052621942,0.514324766319323
15,6,1.08856053715873,0.70404365873634
15,7,1.26016657751988,0.813168969664773
15,8,1.4931981061493,0.979954092371654
15,9,1.73547801841153,1.17937831701433
15,10,1.93830577460041,1.2729072085312
15,11,2.17057401801852,1.35298047089126
15,12,2.34876193017449,1.46090210362156
15,13,2.53817160031777,1.62832265310908
15,14,2.70442693033793,1.70774260854423
15,15,2.88652337035086,1.79272041625585
15,16,3.04920404324883,1.9057561346657
15,17,3.30107543569299,2.03715423547054
15,18,3.5062177455957,2.12375452394677
15,19,3.70636164648648,2.19215699215439
15,20,3.94674303454649,2.36875263847503
15,21,4.11429920071657,2.41036123794476
15,22,4.2697330659819,2.51076646824259
15,23,4.4559554566563,2.62638866057369
15,24,4.62115302094195,2.67742596263678
15,25,4.79248276383117,2.81322729888316
15,26,5.01886800036226,2.97031136529377
15,27,5.25211050690772,3.11482363698573
15,28,5.40619309724557,3.16363982198437
15,29,5.63144646347641,3.25993564382368
15,30,5.84534096737371,3.4498149410223
